Country,Year,"Maternal mortality ratio (deaths per 100,000 population)"
Afghanistan,2010.0,899.0
Afghanistan,2015.0,776.0
Albania,2010.0,9.0
Albania,2015.0,7.0
Angola,2015.0,274.0
Argentina,2010.0,55.0
Argentina,2015.0,39.0
Armenia,2010.0,33.0
Armenia,2015.0,25.0
Australia,2010.0,5.0
Australia,2015.0,5.0
Austria,2010.0,6.0
Austria,2015.0,6.0
Azerbaijan,2010.0,33.0
Azerbaijan,2015.0,29.0
Bahamas,2015.0,84.0
Bahrain,2015.0,16.0
Bangladesh,2015.0,212.0
Barbados,2010.0,53.0
Barbados,2015.0,49.0
Belarus,2010.0,3.0
Belarus,2015.0,1.0
Belgium,2010.0,6.0
Belgium,2015.0,5.0
Belize,2010.0,33.0
Belize,2015.0,49.0
Bhutan,2010.0,117.0
Bhutan,2015.0,74.0
Bolivia (Plurin. State of),2010.0,184.0
Bolivia (Plurin. State of),2015.0,165.0
Brazil,2010.0,64.0
Brazil,2015.0,62.0
Bulgaria,2010.0,10.0
Bulgaria,2015.0,8.0
Burundi,2010.0,608.0
Burundi,2015.0,514.0
Cabo Verde,2010.0,54.0
Cabo Verde,2015.0,47.0
Cambodia,2010.0,276.0
Cameroon,2010.0,527.0
Cameroon,2015.0,447.0
Canada,2010.0,12.0
Canada,2015.0,12.0
Chile,2010.0,23.0
Chile,2015.0,16.0
China,2010.0,33.0
China,2015.0,26.0
Colombia,2010.0,71.0
Colombia,2015.0,70.0
Costa Rica,2010.0,27.0
Costa Rica,2015.0,20.0
Croatia,2010.0,7.0
Croatia,2015.0,6.0
Cuba,2010.0,41.0
Cyprus,2010.0,27.0
Cyprus,2015.0,42.0
Czechia,2010.0,4.0
Czechia,2015.0,4.0
Denmark,2010.0,7.0
Denmark,2015.0,6.0
Dominican Republic,2015.0,99.0
Ecuador,2010.0,76.0
Ecuador,2015.0,66.0
El Salvador,2010.0,36.0
El Salvador,2015.0,44.0
Estonia,2010.0,8.0
Estonia,2015.0,6.0
Eswatini,2010.0,672.0
Eswatini,2015.0,338.0
Finland,2010.0,7.0
Finland,2015.0,7.0
France,2010.0,9.0
France,2015.0,8.0
Georgia,2010.0,41.0
Germany,2010.0,6.0
Germany,2015.0,5.0
Ghana,2015.0,286.0
Greece,2010.0,3.0
Greece,2015.0,5.0
Guatemala,2010.0,123.0
Guatemala,2015.0,107.0
Guyana,2010.0,148.0
Honduras,2015.0,67.0
Hungary,2010.0,15.0
Hungary,2015.0,15.0
Iceland,2010.0,3.0
Iceland,2015.0,3.0
India,2010.0,179.0
India,2015.0,128.0
Indonesia,2010.0,219.0
Indonesia,2015.0,194.0
Ireland,2010.0,7.0
Ireland,2015.0,6.0
Israel,2010.0,3.0
Israel,2015.0,3.0
Italy,2010.0,7.0
Italy,2015.0,7.0
Jamaica,2010.0,88.0
Jamaica,2015.0,97.0
Japan,2015.0,5.0
Kazakhstan,2010.0,20.0
Kazakhstan,2015.0,13.0
Kenya,2015.0,483.0
Kyrgyzstan,2010.0,72.0
Kyrgyzstan,2015.0,61.0
Latvia,2010.0,25.0
Latvia,2015.0,22.0
Lebanon,2010.0,18.0
Lithuania,2010.0,10.0
Lithuania,2015.0,8.0
Luxembourg,2010.0,8.0
Luxembourg,2015.0,7.0
Madagascar,2015.0,482.0
Malawi,2010.0,513.0
Malaysia,2010.0,25.0
Malaysia,2015.0,22.0
Maldives,2010.0,60.0
Maldives,2015.0,57.0
Malta,2010.0,5.0
Malta,2015.0,4.0
Mauritius,2010.0,55.0
Mauritius,2015.0,57.0
Mexico,2010.0,51.0
Mexico,2015.0,52.0
Mongolia,2010.0,65.0
Mongolia,2015.0,47.0
Morocco,2015.0,97.0
Mozambique,2010.0,322.0
Namibia,2010.0,482.0
Nepal,2010.0,349.0
Nepal,2015.0,252.0
Netherlands (Kingdom of the),2010.0,6.0
Netherlands (Kingdom of the),2015.0,5.0
New Zealand,2010.0,10.0
New Zealand,2015.0,9.0
Nicaragua,2010.0,98.0
Nicaragua,2015.0,79.0
Norway,2010.0,4.0
Norway,2015.0,2.0
Oman,2015.0,15.0
Pakistan,2010.0,230.0
Pakistan,2015.0,187.0
Panama,2015.0,49.0
Paraguay,2010.0,100.0
Paraguay,2015.0,80.0
Peru,2010.0,76.0
