Country,Year,Total fertility rate (children per women)
Afghanistan,2010.0,6.1
Afghanistan,2015.0,5.4
Albania,2010.0,1.7
Albania,2015.0,1.6
Angola,2015.0,5.8
Argentina,2010.0,2.3
Argentina,2015.0,2.3
Armenia,2010.0,1.5
Armenia,2015.0,1.6
Australia,2010.0,2.0
Australia,2015.0,1.8
Austria,2010.0,1.4
Austria,2015.0,1.5
Azerbaijan,2010.0,2.1
Azerbaijan,2015.0,2.1
Bahamas,2015.0,1.6
Bahrain,2015.0,2.1
Bangladesh,2015.0,2.1
Barbados,2010.0,1.7
Barbados,2015.0,1.6
Belarus,2010.0,1.5
Belarus,2015.0,1.7
Belgium,2010.0,1.9
Belgium,2015.0,1.7
Belize,2010.0,2.6
Belize,2015.0,2.4
Bhutan,2010.0,2.3
Bhutan,2015.0,2.0
Bolivia (Plurin. State of),2010.0,3.2
Bolivia (Plurin. State of),2015.0,2.9
Brazil,2010.0,1.8
Brazil,2015.0,1.8
Bulgaria,2010.0,1.6
Bulgaria,2015.0,1.5
Burundi,2010.0,6.3
Burundi,2015.0,5.7
Cabo Verde,2010.0,2.5
Cabo Verde,2015.0,2.1
Cambodia,2010.0,2.8
Cameroon,2010.0,5.2
Cameroon,2015.0,4.8
Canada,2010.0,1.6
Canada,2015.0,1.6
Chile,2010.0,1.8
Chile,2015.0,1.7
China,2010.0,1.7
China,2015.0,1.7
Colombia,2010.0,2.0
Colombia,2015.0,1.9
Costa Rica,2010.0,1.9
Costa Rica,2015.0,1.8
Croatia,2010.0,1.5
Croatia,2015.0,1.4
Cuba,2010.0,1.7
Cyprus,2010.0,1.4
Cyprus,2015.0,1.3
Czechia,2010.0,1.5
Czechia,2015.0,1.6
Denmark,2010.0,1.9
Denmark,2015.0,1.7
Dominican Republic,2015.0,2.4
Ecuador,2010.0,2.6
Ecuador,2015.0,2.3
El Salvador,2010.0,2.2
El Salvador,2015.0,2.1
Estonia,2010.0,1.7
Estonia,2015.0,1.6
Eswatini,2010.0,3.4
Eswatini,2015.0,3.1
Finland,2010.0,1.9
Finland,2015.0,1.6
France,2010.0,2.0
France,2015.0,1.9
Georgia,2010.0,1.9
Germany,2010.0,1.4
Germany,2015.0,1.5
Ghana,2015.0,4.1
Greece,2010.0,1.4
Greece,2015.0,1.3
Guatemala,2010.0,3.4
Guatemala,2015.0,3.0
Guyana,2010.0,2.7
Honduras,2015.0,2.6
Hungary,2010.0,1.3
Hungary,2015.0,1.4
Iceland,2010.0,2.2
Iceland,2015.0,1.8
India,2010.0,2.6
India,2015.0,2.3
Indonesia,2010.0,2.5
