Country,Year,Other of concern to UNHCR (number)
Afghanistan,2010.0,1193523.0
Afghanistan,2015.0,1195604.0
Albania,2010.0,7443.0
Albania,2015.0,7443.0
Angola,2015.0,2887.0
Argentina,2010.0,2697.0
Argentina,2015.0,1039.0
Armenia,2010.0,82525.0
Armenia,2015.0,238.0
Australia,2010.0,15.0
Australia,2015.0,15.0
Austria,2010.0,470.0
Austria,2015.0,570.0
Azerbaijan,2010.0,594969.0
Azerbaijan,2015.0,626477.0
Bahamas,2015.0,30.0
Bahrain,2015.0,12251.5
Bangladesh,2015.0,415.0
Barbados,2010.0,4.0
Barbados,2015.0,4.0
Belarus,2010.0,7734.0
Belarus,2015.0,6302.0
Belgium,2010.0,696.0
Belgium,2015.0,5267.0
Belize,2010.0,2.0
Belize,2015.0,2.0
Bhutan,2010.0,2.0
Bhutan,2015.0,2.0
Bolivia (Plurin. State of),2010.0,3.0
Bolivia (Plurin. State of),2015.0,3.0
Brazil,2010.0,8.0
Brazil,2015.0,40338.0
Bulgaria,2010.0,67.0
Bulgaria,2015.0,67.0
Burundi,2010.0,159338.0
Burundi,2015.0,80851.0
Cabo Verde,2010.0,115.0
Cabo Verde,2015.0,115.0
Cambodia,2010.0,3163.0
Cameroon,2010.0,66.0
Cameroon,2015.0,81693.0
Canada,2010.0,7.0
Canada,2015.0,7.0
Chile,2010.0,751.5
Chile,2015.0,2492.5
China,2010.0,319.5
China,2015.0,319.5
Colombia,2010.0,3672065.0
Colombia,2015.0,6520304.0
Costa Rica,2010.0,40.0
Costa Rica,2015.0,2613.0
Croatia,2010.0,24463.0
Croatia,2015.0,16684.0
Cuba,2010.0,1.0
Cyprus,2010.0,6000.0
Cyprus,2015.0,6000.0
Czechia,2010.0,1.0
Czechia,2015.0,1502.0
Denmark,2010.0,3238.0
Denmark,2015.0,4984.0
Dominican Republic,2015.0,133770.0
Ecuador,2010.0,81667.5
Ecuador,2015.0,34.0
El Salvador,2010.0,5.0
El Salvador,2015.0,3724.0
Estonia,2010.0,100983.0
Estonia,2015.0,86522.0
Eswatini,2010.0,4.0
Eswatini,2015.0,4.0
Finland,2010.0,3133.0
Finland,2015.0,1928.0
France,2010.0,1171.0
France,2015.0,1290.0
Georgia,2010.0,361547.0
Germany,2010.0,24378.0
Germany,2015.0,11978.0
Ghana,2015.0,1326.5
Greece,2010.0,260.0
Greece,2015.0,214.0
Guatemala,2010.0,35.0
Guatemala,2015.0,35.0
Guyana,2010.0,3.0
Honduras,2015.0,5.0
Hungary,2010.0,62.0
Hungary,2015.0,128.0
Iceland,2010.0,113.0
Iceland,2015.0,119.0
India,2010.0,5109.0
India,2015.0,5109.0
Indonesia,2010.0,12.0
Indonesia,2015.0,12.0
Ireland,2010.0,1.0
Ireland,2015.0,100.0
Israel,2010.0,9.0
Israel,2015.0,88.0
Italy,2010.0,858.0
Italy,2015.0,606.0
Jamaica,2010.0,138.0
Jamaica,2015.0,138.0
Japan,2015.0,631.0
Kazakhstan,2010.0,7969.0
Kazakhstan,2015.0,7038.0
Kenya,2015.0,21231.0
Kyrgyzstan,2010.0,301164.0
Kyrgyzstan,2015.0,13678.0
Latvia,2010.0,326906.0
Latvia,2015.0,262802.0
Lebanon,2010.0,40.0
Lithuania,2010.0,3679.0
Lithuania,2015.0,3583.0
Luxembourg,2010.0,173.0
Luxembourg,2015.0,81.0
Madagascar,2015.0,5.0
Malawi,2010.0,131.0
Malaysia,2010.0,120015.0
Malaysia,2015.0,120000.0
Maldives,2010.0,2.0
Maldives,2015.0,180774.5
Malta,2010.0,4.0
Malta,2015.0,3736.5
Mauritius,2010.0,138.0
Mauritius,2015.0,10.5
Mexico,2010.0,6.0
Mexico,2015.0,68.0
Mongolia,2010.0,260.0
Mongolia,2015.0,16.0
Morocco,2015.0,456.0
Mozambique,2010.0,1.0
Namibia,2010.0,93.0
Nepal,2010.0,800571.0
Nepal,2015.0,409.0
Netherlands (Kingdom of the),2010.0,2095.0
Netherlands (Kingdom of the),2015.0,1951.0
New Zealand,2010.0,1.0
New Zealand,2015.0,1.0
Nicaragua,2010.0,5.0
Nicaragua,2015.0,5.0
Norway,2010.0,3150.0
Norway,2015.0,1997.0
Oman,2015.0,604.5
Pakistan,2010.0,2248308.0
Pakistan,2015.0,1893008.0
Panama,2015.0,2.0
Paraguay,2010.0,1841.0
Paraguay,2015.0,1841.0
Peru,2010.0,1.0
Peru,2015.0,1.0
Philippines,2015.0,385746.0
Poland,2010.0,763.0
Poland,2015.0,10825.0
Portugal,2010.0,31.0
Portugal,2015.0,14.0
Qatar,2010.0,1200.0
Qatar,2015.0,1200.0
Republic of Korea,2010.0,179.0
Republic of Korea,2015.0,200.0
Republic of Moldova,2010.0,2032.0
Republic of Moldova,2015.0,6233.0
Romania,2010.0,321.0
Romania,2015.0,294.0
Russian Federation,2015.0,113474.0
Rwanda,2010.0,2.0
Rwanda,2015.0,2557.0
Saint Lucia,2010.0,1.0
Saint Lucia,2015.0,60.0
Saint Vincent & Grenadines,2010.0,30.5
San Marino,2010.0,116.0
Sao Tome and Principe,2010.0,5.0
Saudi Arabia,2015.0,70000.0
Senegal,2010.0,1401.0
Senegal,2015.0,1401.0
Serbia,2010.0,238810.0
Serbia,2015.0,223949.0
Sierra Leone,2015.0,3722.5
Singapore,2010.0,1.0
Singapore,2015.0,1.0
Slovakia,2010.0,911.0
Slovakia,2015.0,1671.0
Slovenia,2010.0,4119.0
Slovenia,2015.0,4.0
South Africa,2010.0,134.0
South Africa,2015.0,134.0
Spain,2010.0,31.0
Spain,2015.0,440.0
Sri Lanka,2010.0,434903.0
Sri Lanka,2015.0,50499.0
Suriname,2015.0,3.5
Sweden,2010.0,9545.0
Sweden,2015.0,27167.0
Switzerland,2010.0,127.0
Switzerland,2015.0,76.0
Tajikistan,2010.0,2338.0
Thailand,2010.0,542505.0
Thailand,2015.0,506718.0
Timor-Leste,2010.0,5.0
Timor-Leste,2015.0,5.0
Tunisia,2010.0,3.0
Türkiye,2010.0,1086.0
Türkiye,2015.0,1086.0
Uganda,2010.0,437775.0
Uganda,2015.0,180000.0
Ukraine,2010.0,40357.0
United Arab Emirates,2015.0,11.0
United Kingdom,2010.0,229.0
United Kingdom,2015.0,16.0
United Rep. of Tanzania,2010.0,163269.0
United Rep. of Tanzania,2015.0,168019.0
United States of America,2015.0,62726.0
Uruguay,2015.0,35.0
Uzbekistan,2015.0,86703.0
Venezuela (Boliv. Rep. of),2010.0,5007.5
Viet Nam,2010.0,10200.0
Yemen,2010.0,315929.0
Zambia,2010.0,9687.0
Zambia,2015.0,23415.0
